id,num
393,2544
394,214
395,2361
396,1514
397,1079
398,1283
399,1867
400,2671
401,3197
402,367
403,2208
404,809
405,831
406,187
407,594
408,1160
409,2388
410,2632
411,2693
412,26
413,181
414,1411
415,36
416,2752
417,957
418,2108
419,1391
420,1092
421,2215
422,1384
423,1409
424,1153
425,713
426,986
427,1830
428,2170
429,3581
430,1081
431,230
432,2131
433,4125
434,3087
435,876
436,2764
437,2839
438,1924
439,3231
440,3693
441,576
442,225
443,748
444,372
445,664
446,1101
447,2184
448,1334
449,241
450,1008
451,248
452,1061
453,1063
454,223
455,1959
456,347
457,1686
458,1436
459,1297
460,2250
461,3368
462,3541
464,508
465,81
466,193
467,2007
468,2538
469,353
470,282
471,2471
472,1973
473,3781
474,1487
475,692
476,1188
477,1735
478,1341
479,322
480,1239
481,1396
482,2041
483,1920
484,3396
485,294
486,957
487,3234
488,596
489,2061
490,1993
491,729
492,1699
493,1899
494,559
495,384
496,772
497,2100
498,288
499,2798
500,1720
501,1059
502,1995
503,2189
504,2476
505,177
506,1635
507,516
508,683
509,1047
510,1937
511,744
512,735
513,1227
514,2981
515,3303
516,1592
517,1253
518,2538
519,582
520,2203
521,1927
522,1936
523,3874
524,2151
525,2094
526,1922
527,1372
528,2569
529,169
530,94
531,784
532,1341
533,1087
535,831
536,1040
537,7
538,278
539,3890
540,1286
541,2246
542,189
543,470
544,2496
545,1056
546,3680
547,1223
548,1729
549,2121
550,2352
551,2067
552,4
553,1207
554,707
555,2427
556,2601
557,2511
558,2162
559,2551
560,117
561,1245
562,3347
563,2075
564,2216
565,1782
567,1800
568,162
570,1563
571,162
572,649
573,2159
574,2056
575,2782
576,3512
577,2768
578,1700
579,343
580,1383
581,2926
582,2305
583,52
584,2343
585,2356
586,2139
587,622
588,973
589,449
590,1541
591,699
592,227
593,1236
594,2357
595,2474
596,2427
597,3059
598,2201
599,1873
600,2266
601,1821
602,1704
603,2499
604,2291
605,1923
606,4137
607,1587
608,2342
609,1953
610,1705
611,1736
612,2835
613,2333
614,2677
615,2684
616,2261
617,2516
618,1708
619,2000
620,1584
621,1659
622,2175
623,2670
624,1591
625,2819
