nid,distance
49090909,3110.257
49090911,3468.259
49090963,4669.7660000000005
49090968,4753.7480000000005
49090971,4618.147000000001
49091044,4692.005
49091046,4777.118
49091056,4928.336
49549913,1539.292
49091226,4970.5740000000005
49091228,4798.7570000000005
49091229,4403.552000000001
49091234,4178.740000000001
49091235,3934.099
49091237,3605.4480000000003
49091239,3387.3630000000003
49091247,2488.677
49091251,2156.17
49091256,1489.53
49091257,1166.8729999999998
49091260,596.826
49091261,505.201
49091266,715.3230000000001
49091272,1003.306
49091278,1162.448
49091280,1426.608
5717097829,2047.1369999999997
5751290548,2468.391
49615801,4936.7080000000005
49222622,3678.6799999999994
49222631,3221.0649999999996
49157206,1940.4119999999998
49157215,2355.0840000000003
49681503,4828.588000000001
49353902,4768.938
49616382,4501.441
49092154,3034.0049999999997
49092155,2973.2019999999998
49092156,2768.037
49092164,3274.301
49092165,3307.022
49092169,2264.5910000000003
49092181,2260.256
49616472,3997.0539999999996
49616502,3133.8439999999996
49616510,3668.6079999999993
49616540,4219.227000000001
49616562,4187.387
49551050,2499.5660000000007
49419991,3475.675
49420004,3185.311
49420018,2914.2000000000003
49420045,1479.9579999999999
49420047,1381.667
2138445603,2791.5289999999995
2138445605,2807.4999999999995
3694139182,4457.836
2138445642,2761.9690000000005
2138445649,2693.9820000000004
49420119,3965.3500000000004
2138445673,2876.3449999999993
460855154,4718.674
4792457190,3289.422
4591459103,3732.5279999999993
1921850158,4783.606000000001
1921850166,3847.675
49224581,1831.8429999999998
49224583,2196.626
49224591,2024.1529999999998
49224599,1859.7069999999999
49224601,1786.2089999999998
49224610,2876.156
49224726,2485.3550000000005
49224732,2316.3050000000003
49224735,2231.7000000000003
49224739,2146.58
49224746,1892.075
49224750,1806.926
49224752,1656.5949999999998
49224754,1522.372
49224756,1633.919
49224758,1738.107
49224768,1939.9499999999996
49224774,2174.9599999999996
49224777,2335.4459999999995
49224784,2261.882
4602338499,3598.6999999999994
4602338500,3619.3010000000004
49487119,1382.6859999999997
48962880,4279.7210000000005
48962891,4408.762000000001
48962893,3907.8650000000002
1336352096,1985.1890000000003
1336352097,1882.5460000000003
1336352100,1868.0940000000003
1336352102,2490.179
1336352105,1905.9010000000003
1336352113,2197.6050000000005
49159552,3718.628
49159555,3838.685
49159561,3945.125
49094158,3019.327
49094163,3361.0260000000003
49094168,3684.6820000000002
347414120,2239.236
2138447534,2817.6340000000005
2138447539,2863.4989999999993
2138447540,2685.017
2138447541,3179.5400000000004
49094337,4488.703999999999
2138447559,2694.71
2138447561,2663.94
49094363,4070.9859999999994
49094368,4181.958
49094371,4987.509
49290993,2779.846
49291009,3097.2490000000003
49291016,3049.539
49618729,3101.787
48963468,4684.250999999998
48963470,4697.803999999998
3352829888,2465.059
49094780,2431.642
49094788,2636.5679999999998
49160530,3991.9780000000005
49160545,4132.634000000001
49160548,3204.9870000000005
49160549,3298.3220000000006
49160551,3358.8510000000006
49160554,3194.280999999999
49160559,3258.4830000000006
49291657,3173.8879999999995
49488282,2581.4700000000003
49488294,2851.7940000000003
49488317,3108.154
49422811,3229.573
49422820,3455.5389999999998
296872481,2854.7740000000003
49095231,3057.3079999999995
49619564,1169.926
2139628457,2352.3279999999995
2139628461,2360.1129999999994
49161149,3072.7590000000005
49095673,4513.79
380183789,4410.146
