nid,latitude,longitude,distance
49092165,32.744808,-117.087486,3307.022
49092169,32.7530649,-117.0868607,2264.591
49092181,32.765942,-117.086281,2260.256
49616472,32.747746,-117.100899,3997.054
49616502,32.7644105,-117.0968211,3133.844
49616510,32.7692193,-117.0968084,3668.608
49616540,32.7795516,-117.1015075,4219.227
49616562,32.7755463,-117.0988881,4187.387
49551050,32.747299,-117.08152,2499.566
49419991,32.737713,-117.081421,3475.675
49420004,32.740299,-117.081322,3185.311
49420018,32.742054,-117.079773,2914.2
49420045,32.756554,-117.081757,1479.958
49420047,32.7574379,-117.0817452,1381.667
2138445603,32.7489969,-117.0727058,2791.529
2138445605,32.7488872,-117.0725956,2807.5
3694139182,32.7660057,-117.0462145,4457.836
2138445642,32.7482465,-117.0734114,2761.969
2138445649,32.7479336,-117.0740341,2693.982
49420119,32.742752,-117.089722,3965.35
2138445673,32.7485054,-117.0733979,2876.345
460855154,32.7402653,-117.0938408,4718.674
4792457190,32.740479,-117.084862,3289.422
4591459103,32.7550933,-117.1056127,3732.528
1921850158,32.772974,-117.0454514,4783.606
1921850166,32.7777049,-117.1003558,3847.675
49224581,32.769772,-117.076271,1831.843
49224583,32.76976,-117.071907,2196.626
49224591,32.7704283,-117.0787765,2024.153
49224599,32.770168,-117.077057,1859.707
49224601,32.7701824,-117.0762711,1786.209
49224610,32.76992,-117.064751,2876.156
49224726,32.7549411,-117.0922064,2485.355
49224732,32.754925,-117.090073,2316.305
49224735,32.754921,-117.088997,2231.7
49224739,32.75491,-117.087929,2146.58
49224746,32.754887,-117.084702,1892.075
49224750,32.754879,-117.083633,1806.926
49224752,32.754883,-117.081413,1656.595
49224754,32.754857,-117.0789896,1522.372
49224756,32.754837,-117.077797,1633.919
49224758,32.754822,-117.076683,1738.107
49224768,32.754925,-117.07428,1939.95
49224774,32.755272,-117.071831,2174.96
49224777,32.756096,-117.070427,2335.446
49224784,32.757023,-117.068588,2261.882
4602338499,32.7718055,-117.0579442,3598.7
4602338500,32.7717701,-117.0589902,3619.301
49487119,32.758602,-117.080833,1382.686
48962880,32.7790465,-117.1012671,4279.721
48962891,32.777964,-117.1007779,4408.762
48962893,32.7781904,-117.1006405,3907.865
1336352096,32.7519032,-117.0769544,1985.189
1336352097,32.7520029,-117.0790564,1882.546
1336352100,32.7526438,-117.0773734,1868.094
1336352102,32.7494847,-117.0848842,2490.179
1336352105,32.7529838,-117.077376,1905.901
1336352113,32.7521543,-117.0848384,2197.605
49159552,32.742489,-117.070358,3718.628
49159555,32.74147,-117.069946,3838.685
49159561,32.740715,-117.070557,3945.125
49094158,32.771488,-117.063049,3019.327
49094163,32.774475,-117.063728,3361.026
49094168,32.7772211,-117.0644291,3684.682
347414120,32.7732075,-117.073824,2239.236
2138447534,32.7485906,-117.0729791,2817.634
2138447539,32.7485093,-117.0721998,2863.499
2138447540,32.7446584,-117.0791292,2685.017
2138447541,32.7448187,-117.0791272,3179.54
49094337,32.767673,-117.106247,4488.704
2138447559,32.7448947,-117.079446,2694.71
2138447561,32.744618,-117.0794464,2663.94
