nid,lat,lon
49414394,32.677246,-117.059334
48890106,32.760925,-117.153709
5423890684,32.7765744,-117.0590814
49414396,32.677681,-117.057747
5423890687,32.7776476,-117.0587576
48890113,32.743279,-117.151199
48890114,32.743412,-117.151199
48890115,32.7414568,-117.1640028
48890117,32.689293,-117.189507
48890118,32.689114,-117.189369
48890120,32.689307,-117.1884579
48890121,32.748447,-117.137894
48890122,32.748451,-117.137573
6382878995,32.6121049,-116.9963501
6382878996,32.6117982,-116.9962018
6382879003,32.6108913,-116.9960418
6382879004,32.611133,-116.995407
6382879005,32.6114055,-116.994666
6382879008,32.6122025,-116.9950643
6382879009,32.6116988,-116.9964203
6382879011,32.6119338,-116.9958089
49348900,32.732929,-117.0549305
6382879012,32.6121301,-116.9952672
49348902,32.733944,-117.0554645
6382879013,32.611333,-116.9948633
49086759,32.7378978,-117.1712877
49152297,32.672157,-117.053391
4341498154,32.6401178,-117.0839106
49086761,32.7451955,-117.1713704
49086763,32.746296,-117.171333
49086764,32.746819,-117.171349
49086766,32.7473178,-117.1713613
49086767,32.748943,-117.171379
49086768,32.7499134,-117.1713817
49086769,32.750862,-117.171387
49086770,32.751823,-117.17141
4341498165,32.6444517,-117.0856362
49086774,32.7556879,-117.1714377
49086775,32.7564925,-117.1714191
49086777,32.742088,-117.171722
49348924,32.631165,-116.953957
49348926,32.631458,-116.953506
49152319,32.579781,-117.05899
49480007,32.7541844,-116.9563356
49348935,32.631176,-116.952332
49348938,32.563442,-117.084702
49086798,32.7949444,-116.9744032
49086799,32.791336,-116.97438
48890204,32.575848,-117.079773
48890205,32.575859,-117.078819
49086814,32.734379,-116.960403
1164674925,32.6203824,-117.0179394
49086817,32.734798,-116.961433
49348962,32.799026,-117.078506
49021285,32.7808862,-117.0647961
1164674927,32.6196549,-117.0115078
49086825,32.733299,-116.965431
49086827,32.733768,-116.965523
49414511,32.755817,-116.997528
49086831,32.728016,-117.084091
49217905,32.78117,-117.024193
1164674929,32.6205541,-117.0188299
49217907,32.781696,-117.023659
49086835,32.728153,-117.08329
49480055,32.615986,-117.062973
49217913,32.783894,-117.022377
49480060,32.615459,-117.062752
49480065,32.615578,-117.062317
49480067,32.613853,-117.06163
49480069,32.612133,-117.060982
49480072,32.763462,-117.004623
49152398,32.7401861,-117.1474463
49414549,32.7682984,-117.0817819
49152413,32.7397891,-117.143702
49217950,32.714809,-116.990341
49414559,32.769047,-117.082413
49217951,32.716606,-116.990318
49217953,32.718372,-116.990288
49217956,32.7211735,-116.9902439
49414570,32.7708015,-117.0829716
49086893,32.759529,-117.055717
49086898,32.759655,-117.054626
49152437,32.7898871,-117.034008
49086903,32.760658,-117.053574
49152440,32.791763,-116.936241
49480120,32.762569,-117.01384
49217979,32.631104,-117.013077
357564863,32.7556891,-117.2381943
49152448,32.723759,-117.106651
49414600,32.701405,-117.042709
49283530,32.725521,-117.0849
49152458,32.722759,-117.104279
49152460,32.722755,-117.104134
49414604,32.701775,-117.041962
49414610,32.702194,-117.040787
5234033112,32.5632749,-117.0131606
5234033114,32.563698,-117.0130452
5234033115,32.5638095,-117.0130109
5234033116,32.5632946,-117.0132657
49146396,32.641586,-116.964706
5234033118,32.5637175,-117.0131541
5234033119,32.5638295,-117.0131268
5234033120,32.5638495,-117.0150426
49414625,32.764072,-116.990608
5234033126,32.562596,-117.012376
49283560,32.729019,-117.088959
5234033128,32.5644642,-117.0151457
49414635,32.764759,-116.990044
49283564,32.730133,-117.089111
5234033132,32.5641012,-117.0148846
49283566,32.730785,-117.089104
49152496,32.655197,-116.967773
5234033137,32.5627772,-117.0123796
49283570,32.731422,-117.088997
5234033138,32.5636396,-117.0145085
5234033139,32.5631452,-117.0147936
49480180,32.629375,-117.067703
49152502,32.655415,-116.962051
49021430,32.576263,-116.996773
49152504,32.655381,-116.960132
5234033140,32.5632531,-117.0150193
5234033142,32.5618637,-117.026015
5234033141,32.5629585,-117.0143708
49611257,32.758621,-117.006752
5234033149,32.5630331,-117.0254303
49283582,32.735386,-117.087128
49480196,32.6387508,-117.0698315
49152520,32.760674,-117.0242
49146406,32.785511,-116.91877
49283604,32.736961,-117.090042
49152541,32.760933,-117.023567
49152542,32.760967,-117.02327
