from,to,length,base_speed,oneway
49120291,49120290,121.318,25.0,False
49120287,49120290,142.70399999999995,25.0,False
49233204,49120290,80.10600000000001,25.0,False
49276585,49276600,243.74599999999998,25.0,False
49667574,49276600,242.077,25.0,False
49144655,49276600,121.98899999999999,25.0,False
49215414,49348815,123.568,25.0,False
49092337,49348815,164.12400000000002,25.0,False
49144087,49348815,141.06099999999995,25.0,False
49086679,49086678,63.175,25.0,False
49552427,49086678,133.601,25.0,False
49640687,49086678,221.933,25.0,False
49086680,49086679,64.712,25.0,False
1167694346,49086679,142.364,25.0,False
49414361,49414360,102.397,25.0,False
49485458,49414360,103.085,25.0,False
49346166,49414360,173.05900000000003,25.0,False
49459427,49414361,175.175,25.0,False
49200884,49414361,100.98700000000001,25.0,False
49105668,4686217434,100.76,25.0,False
49094698,49086680,70.586,25.0,False
49086681,49086680,46.375,25.0,False
277348578,1357347279,302.94,25.0,True
277348578,277348979,214.368,25.0,True
48950167,277348578,610.619,25.0,True
49152233,49152231,71.892,25.0,False
49152238,49152233,90.025,25.0,False
49509887,49152233,161.67600000000004,25.0,False
49468609,49414378,98.32,25.0,False
49052793,49414378,165.44799999999998,25.0,False
49165730,49414378,103.74700000000001,25.0,False
49414384,49414378,133.986,25.0,False
49623083,49152238,85.06299999999999,25.0,False
49322869,49152238,282.7920000000001,25.0,False
49468612,49414384,111.115,25.0,False
49414394,49414384,125.927,25.0,False
49134862,49152240,220.424,25.0,False
49490091,49676530,65.148,25.0,False
49433002,49676535,31.151999999999997,25.0,False
49165426,48890105,77.214,25.0,False
48890106,48890105,5.704,25.0,False
49064035,48890105,109.12700000000001,25.0,False
49117390,49414394,256.851,25.0,False
49608391,49414394,88.85700000000001,25.0,False
49223828,49414394,91.264,25.0,False
48895950,48890106,103.803,25.0,False
49561951,48890106,162.674,25.0,False
5423890687,5423890684,123.129,25.0,False
49223828,49414396,64.968,25.0,False
49298784,49414396,242.88,25.0,False
2438351106,49414396,80.05799999999998,25.0,False
49576069,5423890687,246.953,35.0,False
49194499,5423890687,335.336,35.0,False
49137021,48890113,99.146,25.0,False
48890114,48890113,14.789000000000001,25.0,False
49094111,48890113,114.538,25.0,False
49094104,48890114,43.7,25.0,False
49270424,48890114,55.891000000000005,25.0,False
1188766164,48890115,28.929000000000002,25.0,False
49098675,48890115,76.149,25.0,False
49410776,48890115,87.32799999999999,25.0,False
1188766170,48890115,48.458,25.0,False
49274406,48890117,101.243,25.0,False
48890118,48890117,23.751,25.0,False
49068114,48890117,185.1,25.0,False
48890120,48890118,87.92299999999999,25.0,False
49520040,48890118,173.608,25.0,False
565321239,48890120,25.256,25.0,False
49072363,48890120,93.535,25.0,False
48890122,48890121,30.024,25.0,False
48904951,48890121,96.631,25.0,False
49040798,48890121,84.91799999999999,25.0,False
49531325,48890122,207.49,25.0,False
49229719,48890122,72.014,25.0,False
