from,to,length
49079512,49283604,6.462
49693036,49283604,48.79
49259585,49283604,205.506
49152542,49152541,28.028
49287906,49152541,112.704
49093456,49152542,44.451
49295787,49152542,170.798
49077436,49283614,175.274
49283614,49283617,106.415
49283613,49283614,197.179
5861073238,49283614,303.052
49077435,49283613,194.415
49283613,1811066329,150.562
1811066331,49283613,143.054
49420033,49283617,399.965
49283617,49283620,195.87
49611300,49611299,51.688
49283620,5861073231,10.006
49283620,49706100,43.895
5861073238,49283620,12.492
49283623,49283621,153.029
49359351,49283621,534.401
49283621,5861073229,210.182
5861073231,49283621,210.841
49213615,49611300,64.91
49634840,49611300,61.92
49109582,49283623,137.914
49416795,49283623,149.8
49344036,49283624,54.225
49283624,49283625,28.821
5861073249,49283624,28.866
49283625,1955606152,64.523
49283625,49013024,337.07
49229498,49611303,280.811
49521963,49611303,97.749
49292610,49611303,29.932
49152567,49152561,103.969
49283635,1228816142,101.346
5861073252,49283635,120.495
49262821,49283635,218.064
49092198,49283635,248.412
49283638,49283635,100.317
49158889,49218100,75.623
49132026,49218100,108.832
49132008,49218100,148.022
1228816142,49283638,12.78
49079547,49283638,158.1
1228816211,49283638,166.1
49525711,49152567,67.063
49541374,49152567,197.602
49051669,49611320,114.579
1228816060,49283641,13.013
49283641,1228816211,34.386
49092200,49283641,194.93
48930844,49283641,71.196
49132026,49218107,76.909
49283656,49283646,114.063
49309401,49283646,317.898
49363076,49283646,185.588
6255280702,1724756450,187.318
278076838,6255280702,626.644
1724753056,6255280702,111.062
6255280707,2789635383,49.86
6255280707,2789635405,21.062
6255280708,6255280707,8.23
6051889458,6255280708,40.259
1724753114,6255280708,34.172
4616487496,4616487494,12.188
49502360,4616487494,62.326
4616487494,49587635,146.978
4616476844,4616487494,105.802
49283660,49283656,410.657
49651337,49283656,213.784
49705400,4616487496,44.485
4616487496,4616487521,96.723
49587632,4616487496,145.888
49079422,49611339,39.112
49146384,49611339,216.02
49283668,49283660,211.086
49074473,49283660,135.187
49072634,49087056,143.72
49674072,49087056,340.493
49226951,49087056,171.852
49283675,49283668,288.968
49471371,49283668,233.632
49116080,49414741,121.463
49498012,49414741,38.585
49349496,49414741,26.257
49072634,49087060,93.384
49431350,49611350,63.511
370213464,5717326553,110.582
370213464,370213465,108.563
1229060822,370213464,88.11
4616487523,4616487513,10.734
4616487513,4616476844,333.697
4616476185,4616487513,191.878
1755719030,49087065,295.747
49283677,49283675,134.528
49074481,49283675,282.499
370213465,5717326552,14.461
370213465,5717326553,15.919
277348980,370213465,92.948
49529486,49283677,193.415
49283680,49283677,66.572
49611358,49611356,181.878
49611360,49611358,202.585
49080884,49611358,134.635
49643061,49611358,133.388
49332559,49283680,149.239
48876351,49283680,41.665
4616476844,4616487521,10.872
4616487521,4616487523,316.512
49611362,49611360,200.691
49743067,49611360,134.242
48987389,49611360,134.713
49164041,4616487523,45.21
4616487523,4616476838,197.841
49743070,49611362,131.777
49080887,49611362,133.2
49087081,49087077,224.229
49339255,49087077,76.981
1810831152,49087077,140.868
358285926,1811066284,202.734
3701771600,358285926,218.675
1811066292,358285926,261.378
48876361,49283687,16.458
49091347,49283687,210.541
4602198395,49283687,106.115
49080873,49611367,163.334
49743084,49611367,78.218
49611377,49611367,170.392
49051358,49218152,90.115
49087082,49087081,100.475
49531295,49087081,17.539
49087084,49087082,87.187
49615638,49087082,107.053
49087085,49087084,92.072
49472414,49087084,101.672
49236640,49087085,78.099
1810831138,49087085,152.058
49453923,49146424,271.835
49573534,49146424,212.383
49149971,49152625,51.557
1229987780,49152625,2139.339
49242586,49152625,291.538
49423844,49611377,98.834
49080874,49611377,238.935
