from,to,weight
49282009,49414625,14.60768
5234033137,5234033126,0.80604
49522521,49283560,4.98796
49283564,49283560,5.06448
49091074,5234033128,0.75108
49091074,5234033128,18.71224
5234033128,1923492582,6.19684
49145816,49283564,2.2824
49283566,49283564,2.90008
49365285,49283564,2.3144
49459519,49283566,4.0718
49283570,49283566,2.87124
49598608,49152496,2.47028
49152502,49152496,21.48628
49680620,49152496,7.1612
49409605,49283570,2.34828
49320585,49283570,3.4538
3402597960,49283570,6.82376
5234033139,5234033138,2.44496
5234033141,5234033139,1.78928
5234033140,5234033139,0.97268
49106243,49480180,8.0534
49539114,49480180,5.42416
49623133,49480180,5.34036
49152504,49152502,7.18776
49214890,49152502,5.17824
49429097,49152502,13.38592
5349975287,49021430,77.07764
507960160,49021430,19.35364
49075915,49021430,37.69384
5234033149,5234033142,6.26676
49171711,49611257,4.59328
49111894,5234033149,14.39276
49111866,5234033149,30.70696
49178711,49283582,8.00168
49079512,49283582,13.1498
3403972551,49283582,7.55004
49634563,49480196,2.33096
49254106,49480196,4.87692
49282750,49480196,6.36092
5755407143,49480196,3.01624
49152520,49152520,3.87452
49152541,49152520,2.95556
49146424,49146406,13.88324
49099048,49146406,10.25016
49433674,49146406,2.82172
49079512,49283604,0.25848
49693036,49283604,1.9516
49259585,49283604,8.22024
49152542,49152541,1.12112
49287906,49152541,4.50816
49093456,49152542,1.77804
49295787,49152542,6.83192
49077436,49283614,7.01096
49283614,49283617,4.2566
49283613,49283614,7.88716
5861073238,49283614,12.12208
49077435,49283613,7.7766
49283613,1811066329,6.02248
1811066331,49283613,5.72216
49420033,49283617,15.9986
49283617,49283620,7.8348
49611300,49611299,2.06752
49283620,5861073231,0.40024
49283620,49706100,1.7558
5861073238,49283620,0.49968
49283623,49283621,6.12116
49359351,49283621,21.37604
49283621,5861073229,8.40728
5861073231,49283621,8.43364
49213615,49611300,2.5964
49634840,49611300,2.4768
49109582,49283623,5.51656
49416795,49283623,5.992
49344036,49283624,2.169
49283624,49283625,1.15284
5861073249,49283624,1.15464
49283625,1955606152,2.58092
49229498,49611303,11.23244
49521963,49611303,3.90996
49292610,49611303,1.19728
49152567,49152561,4.15876
49283635,1228816142,4.05384
5861073252,49283635,4.8198
49262821,49283635,8.72256
49092198,49283635,9.93648
49283638,49283635,4.01268
49158889,49218100,3.02492
49132026,49218100,4.35328
49132008,49218100,5.92088
1228816142,49283638,0.5112
49079547,49283638,6.324
1228816211,49283638,6.644
49525711,49152567,2.68252
49541374,49152567,7.90408
49051669,49611320,4.58316
1228816060,49283641,0.52052
49283641,1228816211,1.37544
49092200,49283641,7.7972
48930844,49283641,2.84784
49132026,49218107,3.07636
49283656,49283646,4.56252
49309401,49283646,12.71592
49363076,49283646,7.42352
6255280702,1724756450,4.162622222
278076838,6255280702,25.06576
1724753056,6255280702,2.468044444
6255280707,2789635383,1.9944
6255280707,2789635405,0.84248
6255280708,6255280707,0.3292
6051889458,6255280708,1.61036
1724753114,6255280708,1.36688
4616487496,4616487494,0.48752
49502360,4616487494,2.49304
4616487494,49587635,5.87912
4616476844,4616487494,4.23208
49283660,49283656,16.42628
49651337,49283656,8.55136
49705400,4616487496,1.7794
4616487496,4616487521,3.86892
49587632,4616487496,5.83552
49079422,49611339,1.56448
49146384,49611339,8.6408
49283668,49283660,8.44344
49074473,49283660,5.40748
49072634,49087056,5.7488
49674072,49087056,13.61972
49226951,49087056,6.87408
49283675,49283668,11.55872
49471371,49283668,9.34528
49116080,49414741,4.85852
49498012,49414741,1.5434
49349496,49414741,1.05028
49072634,49087060,3.73536
49431350,49611350,2.54044
4616487523,4616487513,0.42936
4616487513,4616476844,13.34788
4616476185,4616487513,7.67512
1755719030,49087065,11.82988
49283677,49283675,5.38112
49074481,49283675,11.29996
370213465,5717326553,0.63676
277348980,370213465,3.71792
49529486,49283677,7.7366
49283680,49283677,2.66288
49611358,49611356,7.27512
49611360,49611358,8.1034
49080884,49611358,5.3854
49643061,49611358,5.33552
49332559,49283680,5.96956
48876351,49283680,1.6666
4616476844,4616487521,0.43488
4616487521,4616487523,12.66048
49611362,49611360,8.02764
49743067,49611360,5.36968
48987389,49611360,5.38852
49164041,4616487523,1.8084
4616487523,4616476838,7.91364
49743070,49611362,5.27108
49080887,49611362,5.328
49087081,49087077,8.96916
49339255,49087077,3.07924
1810831152,49087077,5.63472
358285926,1811066284,8.10936
3701771600,358285926,8.747
1811066292,358285926,10.45512
48876361,49283687,0.65832
49091347,49283687,8.42164
4602198395,49283687,4.2446
49080873,49611367,6.53336
49743084,49611367,3.12872
49611377,49611367,6.81568
49051358,49218152,3.6046
49087082,49087081,4.019
49531295,49087081,0.70156
49087084,49087082,3.48748
49615638,49087082,4.28212
49087085,49087084,3.68288
49472414,49087084,4.06688
49236640,49087085,3.12396
1810831138,49087085,6.08232
49453923,49146424,10.8734
49573534,49146424,8.49532
49149971,49152625,2.06228
1229987780,49152625,85.57356
49242586,49152625,11.66152
49423844,49611377,3.95336
49080874,49611377,9.5574
4343291759,277348980,3.53112
49106249,49611378,8.01364
49423844,49611378,16.29052
49386210,49611378,3.971
49623141,49611378,3.94112
49087097,49087096,3.19924
49107094,49087096,3.0922
49068309,49087096,3.03376
49350983,49087096,6.99688
49064642,49152633,3.13304
49149971,49152633,2.81872
49175360,49152633,2.52204
49283713,49283711,2.56212
49217519,49283711,8.09096
49443561,49283711,2.08752
49294906,49480319,1.82972
49144871,49283713,5.44884
49067014,49283713,3.31016
49152647,49152645,3.631
49064642,49152645,3.588
49776770,49152645,6.78248
49152998,49283718,1.06748
49283717,49283718,5.08836
49658116,49283718,8.34968
49324861,49152647,21.08964
49653279,49152647,5.0596
49144871,49283717,2.42868
49152994,49283717,8.99708
49283722,49283721,1.3566
49283720,49283721,3.376
49631960,49283721,14.09184
49283723,49283722,3.44268
49631922,49283722,4.05544
49251176,49283723,4.87068
49283723,49631960,17.087
49152998,49283720,3.3452
49144874,49283720,16.46364
49116240,49283725,7.73628
49283725,49120859,3.99524
49251176,49283725,8.11232
49515108,49283725,4.05176
49460436,49283728,2.81784
49120861,49283728,4.0712
49039556,49283728,13.13316
49224726,49283728,5.01464
49525470,49676945,5.74948
49432951,49611414,4.40868
48946624,49611414,7.91748
49386221,49611414,4.10588
49743078,49611414,4.00868
49483401,49283736,2.47168
48956445,49283736,3.70084
49135965,49283736,8.18584
49087664,49283736,3.2706
4589804599,49611416,1.9152
49432614,49611416,4.04296
49112914,49611416,7.95084
49386228,49611416,4.4782
49245125,3377791640,4.3274
49099020,3377791642,1.78656
3377791642,3377791642,6.03352
49152671,49152668,2.10488
49485559,49152668,8.63516
49391974,49152668,4.00492
49611425,49611422,1.17568
49346154,49283744,2.08716
49222190,49283744,4.06072
49135965,49283744,8.01136
49283745,49283744,8.14604
49445964,49283745,6.32012
49283747,49283745,8.00084
49448447,49611425,3.67128
49112930,49611425,7.76056
49152685,49152675,8.06724
49492335,49152675,6.59008
49461280,49152675,12.1372
49274354,49283747,7.91804
49283756,49283747,12.18948
49079460,49283756,9.95156
4341850553,49283756,24.31132
49621684,49283756,14.00368
49175169,49152685,2.96848
49492335,49152685,5.61608
49676981,49676979,1.0814
49676992,49676981,5.85204
49677029,49676981,2.63828
49676994,49676992,2.2732
49677002,49676992,1.95328
49677018,49676994,1.861
49677008,49676994,5.80688
49480394,49480392,11.33712
49459187,49414858,16.07284
49393752,49414858,2.35948
49542041,49414858,20.6246
49677005,49677004,1.98788
49677039,49677004,1.08332
49677029,49677004,1.57596
49677025,49677005,2.03364
49677008,49677005,2.04968
49442852,49480394,3.14028
49083620,49480394,2.282
49215446,49480394,2.31196
49414864,49414863,3.43008
49328052,49414863,2.45504
49695625,49414863,1.31364
49677022,49677008,1.78124
49259252,660538063,1.8566
49069392,49480400,3.20696
49442852,49480400,2.91776
49480400,49190422,4.57072
49480411,49480405,8.31316
316685239,49480405,7.79528
1190499411,49480405,4.72324
49363703,49480411,8.32372
49190429,49480411,4.62364
1190499409,49480411,4.78788
49058102,49677029,1.62988
49087209,49087206,13.16052
49480427,49480424,3.51388
49460715,49480424,8.33168
49190438,49480424,4.59336
49435200,49480424,4.62328
49222631,49087209,2.59104
49407201,49087209,2.12052
2436258937,49087210,10.04188
49280681,49087210,16.65364
49333741,49087210,2.83988
49260598,49480427,4.83476
49480427,49190440,5.57884
49435200,49480427,5.85316
2436258937,49087213,2.30732
49304537,49087213,7.00616
49087215,49087213,6.80084
49069501,5950407408,3.66256
49124790,49087215,9.32316
49087219,49087215,13.88624
49087220,49087219,0.65612
49104521,49087219,12.37864
49087221,49087220,7.41988
49124793,49087220,5.30124
4633488681,49087221,3.8706
49087222,49087221,9.67612
49688726,49087222,3.4194
49087223,49087222,9.99028
49232815,49087223,11.405
1229993335,49087223,17.2348
49723084,49152761,7.6526
49152780,49152761,16.43352
49152793,49152761,13.2984
49309969,49152761,8.38764
49141805,287376123,4.65784
49492925,49742587,3.90236
49299362,49414913,3.00528
49656032,49414913,11.86552
49526521,49414913,5.62024
49493032,49087240,6.48052
49087241,49087240,7.91452
1229993335,49087240,10.66208
49283850,49283849,5.8044
49476091,49283849,3.96876
