id,num
567,1533
568,2053
569,2186
570,3574
571,3170
572,3629
573,2358
574,2649
575,3839
576,2166
577,1124
578,4266
579,3576
580,3167
581,1645
582,1808
583,1716
584,1694
585,777
586,1851
587,3060
588,1624
589,4530
590,3134
591,4222
592,2533
593,3990
594,2085
595,2039
596,2389
597,2823
598,2314
599,3209
600,4405
601,4009
602,3228
603,2793
604,2825
605,5275
606,3187
607,1679
608,3091
609,2332
610,2897
611,4625
612,2814
613,1752
614,2658
615,4375
616,2778
617,3751
618,2435
619,2495
620,1748
621,3096
622,2041
623,2702
624,3227
625,2343
626,2390
627,2831
628,2010
629,1449
630,3779
631,1941
632,1868
633,2906
634,2866
635,1645
636,2501
637,2109
638,4184
639,2322
640,2490
641,3166
642,2285
643,4444
644,1844
645,1793
646,4394
647,2378
648,4790
649,3463
650,3474
651,3061
652,3781
653,4398
654,3470
655,2334
656,1953
657,1873
658,1810
659,1769
660,2437
661,2673
662,3214
663,1812
664,3803
665,4303
666,3577
667,1890
668,3099
669,2644
670,1624
671,3273
672,4131
673,2792
674,1683
675,2898
676,2475
677,2728
678,5396
679,1828
680,1451
681,5022
682,2788
683,1941
684,3033
685,3225
686,3597
687,3980
688,3082
689,2029
690,4186
691,2165
692,3670
693,5332
694,3521
695,1545
696,2864
697,2535
698,1246
699,3402
700,2066
701,1508
702,2053
703,3026
704,2497
705,3723
706,1809
707,1619
708,2642
709,4420
710,2449
711,1884
712,2923
713,2809
714,2219
715,1484
716,2783
717,2884
718,3869
719,3392
720,3217
721,1739
722,2884
723,3873
724,1978
725,4663
726,1928
727,3389
728,2150
729,2546
730,3839
731,1329
732,2997
733,2237
734,4689
735,3187
736,2210
737,1959
738,1219
739,3978
740,3586
741,4556
742,3363
743,3449
744,3263
745,3544
746,2865
747,1909
748,1637
749,1417
750,2408
751,3417
752,5266
753,2827
754,2977
755,3679
756,2427
757,4377
758,2672
759,3934
760,3814
761,4062
762,2484
763,1860
764,2405
765,2748
766,4294
767,1301
768,4423
769,4079
770,2449
771,5330
772,2245
773,3261
774,2823
775,2249
776,3340
777,1758
778,2645
779,1862
780,4119
781,2851
782,3929
783,2222
784,1921
785,4097
786,1595
787,3346
788,3097
789,5581
790,2122
791,4617
792,1702
793,2909
794,2684
795,3295
796,3796
797,1781
798,4990
799,4110
800,2713
801,2618
802,2178
803,4899
804,1963
805,1670
806,4435
807,1968
808,2553
809,2257
810,2694
811,2716
812,3075
813,1629
814,2349
815,2718
816,1992
817,4211
818,2037
819,1975
820,2722
821,2389
822,4179
823,3465
824,2952
825,2157
826,2704
827,2365
828,3008
829,3131
830,3153
831,3053
832,2006
833,4589
834,2549
835,2722
836,1580
837,3638
838,1290
839,3275
840,3741
841,3679
842,2429
843,2257
844,3802
845,2401
846,2001
847,3263
848,3920
849,3994
850,4654
851,4413
852,3222
853,2637
854,2280
855,4420
856,4519
857,2972
858,3102
859,2088
860,3934
861,2067
862,3615
863,3654
864,3615
865,3108
866,3216
867,4420
868,2600
869,4672
870,5452
871,3118
872,3001
873,1485
874,1212
875,3991
876,3244
877,3042
878,3330
879,4384
880,1377
881,3716
882,1654
883,2039
884,3060
885,3327
886,3042
887,1998
888,2128
889,2586
890,3512
891,3657
892,4101
893,4140
894,5349
895,3206
896,2927
897,2382
898,2433
899,3901
900,3687
901,3595
902,2078
903,2614
904,2516
905,2452
906,2311
907,1562
908,4066
909,4504
910,2599
911,4969
912,1126
913,2781
914,1744
915,2214
916,2888
917,2089
918,3022
919,3360
920,2265
921,2670
922,4516
923,3675
924,4297
925,4556
926,2854
927,2953
928,2585
929,2570
930,4532
931,3077
932,2538
933,2840
934,2172
935,1900
936,3135
937,2594
938,1432
939,4480
940,3512
941,3465
942,2722
943,3112
944,2400
945,3197
946,3156
947,2189
948,5445
949,2246
950,1719
951,3675
952,841
953,3409
954,2662
955,2000
956,2187
957,99
958,3310
959,130
960,4478
961,1884
962,2190
963,3371
964,3137
965,4550
966,4265
967,1352
968,3055
969,2407
970,3451
971,2182
972,2425
973,166
974,4045
975,2093
976,1514
977,3345
978,233
979,5247
980,1985
981,3894
982,2138
983,2811
984,3972
985,2100
986,2017
987,3539
988,2468
989,1498
990,2274
991,4321
992,1969
993,213
994,2088
995,1351
996,1906
997,1006
998,4050
999,2226
1000,3120
1001,2059
1002,928
1003,2024
1004,2758
1005,1454
1006,2716
1007,3455
1008,1477
1009,1824
1010,1720
1011,2042
1012,1026
1013,1479
1014,4367
1015,2104
1016,1488
1017,2007
1018,1337
1019,2854
1020,4737
1021,4267
1022,1542
1023,2021
1024,2111
1025,4407
1026,3328
1027,1776
1028,3022
1029,1717
1030,2295
1031,2727
1032,4361
1033,1897
1034,2174
1035,2373
1036,2980
1037,3561
1038,2833
1039,2321
1040,879
1041,3230
1042,171
1043,2129
1044,2657
1045,3006
1046,2288
1047,134
1048,281
1049,139
1050,1155
1051,378
1052,1059
1053,1788
1054,2346
1055,1332
1056,2724
1057,4425
1058,3287
1059,90
1060,1939
1061,626
1062,1957
1063,1041
1064,978
1065,1912
1066,2738
1067,4692
1068,2610
1069,3459
1070,3443
1071,2005
1072,3152
1073,3033
1074,132
1075,2355
1076,356
1077,2488
1078,2930
1079,2140
1080,857
1081,4507
1082,4670
1083,2413
1084,2588
1085,1819
1086,29
1087,4688
1088,2692
1089,111
1090,1505
1091,1060
1092,843
1093,3518
1094,4063
1095,2448
1096,2034
1097,1440
1098,1748
1099,2525
1100,2399
1101,3995
1102,5055
1103,2402
1104,4263
1105,2855
1106,3494
1107,326
1108,2033
1109,2681
1110,2161
1111,721
1112,1673
1113,424
